Tournament,Game Name (from Game),Name (from Regions),Region Includes,Reg Ends,Start Time (Local),Local Timezone,Platform,Entry $,Cap,Pot Split,Seeding?,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Finals-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Rules-Disconnect,Lead TO
GGST (BR),Guilty Gear -STRIVE-,Brazil,Brazil,2/22/2022,2/26/2022 8:00pm,BRT,PC,Free,512,,Region + Skill,Double Elimination,2/3,3/5,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Zate
GGST (EU),Guilty Gear -STRIVE-,Europe,"Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus (Republic of Cyprus), Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Italy, Ireland, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom, Vatican City

In addition players living in European parts of these trans-continental countries are also permitted to play in the tournament:

    Kazakhstan (cut-off point is along A-28 National Highway from Uralsk to Atyrau, everything west of it is considered to be in Europe)

    Russia (cut-off point is along the Ural mountain chain, everything west of it is considered to be in Europe)

    Turkey (cut-off point is Istanbul/the Bosporus strait, everything to the north-west of Istanbul is considered to be in Europe)",2/22/2022,2/27/2022 4:00pm,UTC,PC,Free,512,,Region + Skill,Double Elimination,2/3,3/5,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Kashkabald
GGST (NA),Guilty Gear -STRIVE-,North America,"USA & all Territories, Canada, Mexico,",2/22/2022,2/27/2022 4:00pm,PST,PC,Free,512,,Region + Skill,Double Elimination,2/3,3/5,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",TENMA
GGST (SEA),Guilty Gear -STRIVE-,South East Asia,"Singapore, Malaysia, Thailand, Indonesia, Philippines, Vietnam, Brunei, Cambodia, Laos, Myanmar",2/22/2022,2/26/2022 1:00pm,SGT,PC,Free,128,50/30/20,Region + Skill,Double Elimination,2/3,3/5,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",VGD
GGST (SUD),Guilty Gear -STRIVE-,SUD,"Argentina, Bolivia, Chile, Paraguay, Perú, & Uruguay",2/22/2022,2/26/2022 5:00pm,BRT,PC,Free,512,60/30/10,Skill,Double Elimination,2/3,3/5,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Salazio
KOFXV (BR),King of Fighters XV,Brazil,Brazil,3/8/2022,3/13/2022 5:00pm,BRT,PC,Free,512,,Region + Skill,Double Elimination,N/A,2/3,,Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Zate
KOFXV (EU),King of Fighters XV,Europe,"Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus (Republic of Cyprus), Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Italy, Ireland, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom, Vatican City

In addition players living in European parts of these trans-continental countries are also permitted to play in the tournament:

    Kazakhstan (cut-off point is along A-28 National Highway from Uralsk to Atyrau, everything west of it is considered to be in Europe)

    Russia (cut-off point is along the Ural mountain chain, everything west of it is considered to be in Europe)

    Turkey (cut-off point is Istanbul/the Bosporus strait, everything to the north-west of Istanbul is considered to be in Europe)",3/8/2022,3/13/2022 4:00pm,UTC,PC,Free,512,,Region + Skill,Double Elimination,N/A,2/3,3/5 Games for Grand Finals,Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Kashkabald
KOFXV (NA),King of Fighters XV,North America,"Canada, USA, Mexico",3/8/2022,3/13/2022 4:00pm,PST,PC,Free,512,,Region + Skill,Double Elimination,N/A,2/3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Hagure
KOFXV (SEA),King of Fighters XV,South East Asia,"Singapore, Malaysia, Thailand, Indonesia, Philippines, Vietnam, Brunei, Cambodia, Laos, Myanmar",3/8/2022,3/13/2022 1:00pm,SGT,PC,Free,64,50/30/20,Region + Skill,Double Elimination,N/A,2/3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.","VGD,RBJeanne"
KOFXV (SUD),King of Fighters XV,SUD,"Argentina, Bolivia, Chile, Paraguay, Perú, & Uruguay",3/8/2022,3/12/2022 7:00pm,BRT,PC,Free,512,60/30/10,Skill,Double Elimination,N/A,2/3,,Default Settings,Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Salazio
